SN,mB,mB_err,x1,x1_err,c,c_err,mu_1,mu_2,mu_err_1,mu_err_2,HR_1,HR_2,Outlier,Cluster,Cluster z,Cluster z (HD),r500 (Mpc),Projected r/r500,NED Host Galaxy,Ks/W1 log(M_stellar),Ks/W1 log(M_stellar)_err,Host/SN z,Host SFR
2020nin,18.318384249459097,0.013014559578940372,-0.6721111799509587,0.10089349854272073,0.04262549613343859,0.010215026681374247,37.46776726618457,37.396938066365735,0.16881173722164547,0.14261416125178097,0.10579998897002696,0.03497078915118834,n,MCXC J1825.3+3026,0.065,0.06599363037234807,0.9527,1.2759515034760316,WISEA J182606.42+301320.6,9.55697711499792,0.07211330944192512,0.06,SF
2020sia,18.89439695811855,0.014944636414484614,0.401112115207631,0.10506849458775044,-0.024288811100158382,0.010378151383803071,38.35004426808193,38.26950989933479,0.16743335489451477,0.14099290662063022,0.18010971391082364,0.09957534516368582,n,MCXC J0020.6+2840,0.094,0.09391386219779285,0.9156,1.014418765226726,WISEA J002040.60+284835.4,9.150761759448617,0.29561070798952893,0.094008,Q
2020vnr,18.514006698486714,0.012727212509984553,0.014132933181904603,0.15411268444835097,-0.0757074142841078,0.01148262787672948,38.049901227587085,37.96312083821126,0.16871731462165238,0.14240359498593977,-0.05235614884287543,-0.13913653821870042,n,MCXC J0003.8+0203,0.0924,0.09119961661341991,0.8233,1.77840517055811,N/A,N/A,N/A,0.09,N/A
2020xps,18.05773503767077,0.01725917456292887,0.27247024278188114,0.12087353487515261,-0.05338522288580045,0.012134696480998743,37.57035553131061,37.48619636731556,0.1685922635448291,0.14236328013696836,-0.01640285286504195,-0.10056201686009558,n,MCXC J0258.9+1334,0.0739,0.07284126575454031,1.2421,1.4410009466570077,WISEA J025733.72+132831.6,10.108551331965952,0.056072396601303046,0.07,SF
2020zgh,17.323640990240154,0.013057878535779159,-0.32718738942201775,0.08729924098528129,0.08205112202545319,0.009652514525928068,36.4176639724019,36.3515757545326,0.17235111125636668,0.14681670875978378,-0.05412625673680793,-0.12021447460610801,n,MCXC J0115.2+0019,0.045,0.04447807107715729,0.7489,1.5247920438144194,WISEA J011553.37+000056.8,9.114734831441819,0.09418425403042495,0.045,Q
2021abzf,15.992499589440637,0.0292765770953786,-1.947481657047515,0.09189105548556775,0.046737851208416455,0.01970716252647595,34.96825560088851,34.89923226535144,0.19193254429230716,0.16931183097070565,0.04398928526108392,-0.025034050275984043,n,MCXC J1144.6+1945,0.0214,0.02217123423717693,0.9032,1.751630421321649,WISEA J114854.88+194833.5,9.522585578950125,0.048055312705044484,0.023671,Q
2021accx,16.08034734132236,0.003658527611708071,-0.12312704419368199,0.051311046857234,-0.06715843455760982,0.00317188260374568,35.57709496848897,35.491554657475234,0.17946199584546488,0.15516651530343845,-0.04771165662027954,-0.13325196763401692,n,MCXC J2338.4+2700,0.0309,0.030424663764011317,0.7458,1.3226549285123943,WISEA J234001.38+271627.4,8.226802123704308,0.22091862850112,0.031,Q
2021achd,17.99213270272552,0.009872671848379705,-2.028050723685384,0.1454745403774518,0.03658093977571233,0.0093281210228894,36.98321191809989,36.91295891005465,0.16966092663718393,0.14360638949245547,-0.27285503606591277,-0.3431080441111547,n,MCXC J0039.6+2114,0.0619,0.06298589030503998,0.6292,1.3831551920476999,WISEA J003848.18+210933.6,10.32233755886108,0.050059372930000005,0.060098,Q
2021aut,17.044481010131058,0.01797049875406778,0.7548104446209749,0.12323569699527187,-0.01933233995466771,0.011420282361608518,36.53289157308812,36.45264289078935,0.1720772492842029,0.14651857753566408,-0.05915666874199843,-0.13940535104077156,n,MCXC J1326.9-2710,0.0458,0.04692741674386047,0.9694,1.3868634075661348,LEDA 764003,9.586730816497823,0.056072396601303046,0.047,SF
2021bbz,15.555290792303868,0.002706453165693225,-0.14863074825399483,0.02977678920493818,0.019248076616052868,0.002186525818127326,34.83068391114844,34.75631554378017,0.19163775766748578,0.16910478168986587,-0.0935824044789868,-0.16795077184725926,n,MCXC J1144.6+1945,0.0214,0.02217123423717693,0.9032,1.026609635588191,ARK 321,10.4480650480883,0.04605139296929984,0.023311,Q
2021bjd,17.685791636295512,0.008722854075484801,0.8251306506865912,0.11337610411255165,-0.11470710168237759,0.0061687929092249585,37.42392908422971,37.331306737462,0.16862718131497803,0.1424520970767853,0.17803586524682657,0.08541351847911471,n,MCXC J1348.8+2635,0.0622,0.06270397664040117,1.2236,1.0863933277465518,SDSS J134749.22+262400.4,N/A,N/A,0.068,Q
2021bsf,16.15778801328339,0.002793884304670087,-1.7798876714174674,0.022848085570764426,-0.043849628603967655,0.0024360397068822304,35.38363885393837,35.30276213951987,0.1843416985615779,0.16078690245850194,0.09124848524400875,0.010371770825507554,n,MCXC J1204.1+2020,0.0252,0.026188463842696352,0.4781,1.8265275621611499,WISEA J120604.02+203213.0,8.959468190965316,0.0681022379784141,0.02372,Q
2021hiz,13.09701812019908,0.0005179223079952801,-0.4852183275163571,0.0028507925723991554,0.08230685739748082,0.0003740091356702227,32.17016766620574,32.10427046913754,0.7835732114805524,0.7783700532004049,1.741705128855049,1.6758079317868457,n,MCXC J1230.7+1220,0.0036,0.002838028389572811,0.7508,1.877199704885736,IC 3322A,9.296185014940278,0.009600000000000001,0.003312,Q
2021kaq,17.358348799720122,0.0258874953758324,-2.044531438482518,0.15612945733046016,0.01898857341069543,0.020131258379746123,36.39172161630576,36.319215673714226,0.17621762582275438,0.15105735911674562,0.21787799998260482,0.1453720573910715,n,MCXC J0748.1+1832,0.04,0.03893249000037402,0.5603,1.5351802174603983,WISEA J074920.72+183920.9,10.045129716245615,0.048055312705044484,0.043409,Q
2021kqo,18.759944278798095,0.014535886337369538,-1.7518468582987334,0.15881581241973336,0.23403823823201814,0.012863645384022675,37.287995367638246,37.24293814722847,0.1702797081553207,0.14422283434006417,-0.11451551465592757,-0.15957273506570147,n,MCXC J1533.2+3108,0.0673,0.06718124550678817,0.6722,1.6729761333310935,2MASS J15335013+3056137,10.752604352917668,0.0176,0.065774,Q
2021qyf,19.01646871183266,0.021586761974381207,-2.5956889500106377,0.2848567358159619,0.08978620710143116,0.018332128026842445,37.80060013950729,37.73777824917338,0.17350702708673915,0.14782622272185578,0.06999894209676683,0.007177051762859321,n,MCXC J1342.0+0213,0.0765,0.07757438273189776,0.8181,1.9316553399538425,WISEA J134122.10+015905.5,9.95958105744803,0.06208668489572032,0.080092,SF
2021wh,17.02364390934717,0.010173463275895547,-2.0982430037171143,0.05812579301944829,0.031601028884672096,0.008032376405779793,36.01830780796647,35.947482583696306,0.17747368505611769,0.15280215468540104,0.1903727961252315,0.11954757185506537,n,MCXC J0937.9-2020,0.0344,0.03333622940903758,0.5504,1.0558715245935388,WISEA J093754.93-200640.9,8.651704539104614,0.11024653750264002,0.035,SF
2021ypa,16.742304319685324,0.01216920518506416,-2.0482200286858645,0.05068408747242731,-0.006188186756719046,0.008624728524502169,35.83875113938749,35.76300108332456,0.17856371098423557,0.15408101475182237,0.1213901038000742,0.045640047737144585,n,MCXC J0433.6-1315,0.0326,0.03171907442343502,0.9974,1.1447207671163588,WISEA J043538.20-131323.3,9.741623437809281,0.05206357365028352,0.03438,SF
2022bij,17.954155106334202,0.026776167788871555,1.7641857068415292,0.19447413168492142,0.16769232238309556,0.01644212729994638,37.09971545511498,37.04258357899556,0.1718462110472754,0.14629143619603246,0.3309020005762662,0.27377012445684556,n,MCXC J0828.6+3025,0.0503,0.05076646138967966,0.7283,1.622117672435396,WISEA J082947.12+303921.4,9.681610183851056,0.06008178160704,0.04893,SF
2022mww,15.452732606839756,0.0051930353842491745,-1.8915697129262914,0.018036271545709512,0.09858305620291867,0.003462984843889245,34.30478804972902,34.242396833692126,0.20813655824977254,0.1875916496702086,-0.047080652195681694,-0.10947186823257482,n,MCXC J0319.7+4130,0.0179,0.017098919772404297,1.2856,1.3680173636000705,WISEA J031247.23+414914.6,9.230419571141537,0.25117591625,0.02,Q
2022rdt,18.81075808645683,0.02162891394321357,0.19196079154426532,0.20724282464182342,-0.060206255950939605,0.017220335874097447,38.33028965779467,38.24533108998545,0.17027011681135953,0.14416418995113317,0.16035510362356575,0.0753965358143418,n,MCXC J0020.6+2840,0.094,0.09391386219779285,0.9156,1.7469315363433833,N/A,N/A,N/A,0.094,N/A
2022rjj,18.49625014226805,0.03151802824511152,-2.418382133038235,0.184589624604387,0.145747194278581,0.021498114886345194,37.16183131088002,37.10605108107499,0.17174857316935466,0.14584698612825847,0.1406546976988423,0.08487446789381181,n,MCXC J0041.8-0918,0.0555,0.05677791738555338,1.2103,1.4925262115838187,WISEA J004028.94-093729.9,9.864706800376315,0.058077018844273284,0.056186,Q
2022rqc,16.464021240715546,0.01286887597474779,1.065461008716677,0.05102714374394138,0.12484803205986289,0.008422068692285126,35.62828381691219,35.566323752039196,0.17709902612748413,0.15239871691890475,-0.21095705426760247,-0.2729171191405939,n,MCXC J0740.9+5525,0.034,0.033506050293983236,0.7601,1.9455899724230752,UGC 03923,10.706096348471917,0.012,0.029981,SF
