SN,$m_B$ (mag),$x_1$,$c$,$\mu$ (mag),Cluster,$z$,$r_{500}$ (Mpc),Proj. $r/r_{500}$,NED Host Galaxy,Host/SN $z$,Host SFR
2021qyf,$19.016 \pm 0.022$,$-2.596 \pm 0.285$,$+0.090 \pm 0.018$,$37.791 \pm 0.186$,MCXC J1342.0+0213,0.0765,0.82,1.93,WISEA J134122.10+015905.5,0.0801,SF
2021wyw,$17.250 \pm 0.005$,$-2.023 \pm 0.059$,$-0.030 \pm 0.005$,$36.299 \pm 0.173$,MCXC J2310.4+0734,0.0424,0.73,0.07,NGC 7501,0.0427,Q
2021ypa,$16.742 \pm 0.012$,$-2.048 \pm 0.051$,$-0.006 \pm 0.009$,$35.817 \pm 0.191$,MCXC J0433.6-1315,0.0326,1.00,1.14,WISEA J043538.20-131323.3,0.0344,SF
2021zfo,$18.843 \pm 0.022$,$-0.163 \pm 0.228$,$+0.053 \pm 0.020$,$37.933 \pm 0.175$,MCXC J1800.5+6913,0.0823,0.69,0.50,WISEA J180027.09+690944.9,0.085,SF
2021zgk,$18.232 \pm 0.017$,$-2.145 \pm 0.163$,$+0.095 \pm 0.015$,$36.943 \pm 0.173$,MCXC J1857.6+3800,0.0567,0.84,0.36,WISEA J185715.87+375914.6,0.0523,Q
2021aalx,$16.948 \pm 0.008$,$-1.983 \pm 0.044$,$+0.142 \pm 0.006$,$35.560 \pm 0.177$,MCXC J0036.5+2544,0.0341,0.55,0.59,UGC 00367 NOTES01,0.0322,SF
2021abzf,$15.992 \pm 0.029$,$-1.947 \pm 0.092$,$+0.047 \pm 0.020$,$34.955 \pm 0.203$,MCXC J1144.6+1945,0.0214,0.90,1.75,WISEA J114854.88+194833.5,0.0237,Q
2021accx,$16.080 \pm 0.004$,$-0.123 \pm 0.051$,$-0.067 \pm 0.003$,$35.554 \pm 0.191$,MCXC J2338.4+2700,0.0309,0.75,1.32,WISEA J234001.38+271627.4,0.031,Q
2021achd,$17.992 \pm 0.010$,$-2.028 \pm 0.145$,$+0.037 \pm 0.009$,$36.968 \pm 0.182$,MCXC J0039.6+2114,0.0619,0.63,1.38,WISEA J003848.18+210933.6,0.0601,Q
2022bij,$17.954 \pm 0.027$,$+1.764 \pm 0.194$,$+0.168 \pm 0.016$,$37.120 \pm 0.184$,MCXC J0828.6+3025,0.0503,0.73,1.62,WISEA J082947.12+303921.4,0.0489,SF
2022czi,$18.765 \pm 0.029$,$-2.041 \pm 0.271$,$+0.047 \pm 0.025$,$37.613 \pm 0.179$,MCXC J1200.3+5613,0.0650,0.76,0.17,MCG +09-20-056,0.0648,Q
2022mww,$15.453 \pm 0.005$,$-1.892 \pm 0.018$,$+0.099 \pm 0.003$,$34.299 \pm 0.219$,MCXC J0319.7+4130,0.0179,1.29,1.37,WISEA J031247.23+414914.6,0.02,Q
2022nzb,$18.484 \pm 0.017$,$-2.554 \pm 0.433$,$+0.006 \pm 0.015$,$37.368 \pm 0.183$,MCXC J1351.7+4622,0.0625,0.67,0.99,CGCG 246-024,0.0623,Q
2022rdt,$18.811 \pm 0.022$,$+0.192 \pm 0.207$,$-0.060 \pm 0.017$,$38.309 \pm 0.183$,MCXC J0020.6+2840,0.0940,0.92,1.75,N/A,0.094,N/A
2022rjj,$18.496 \pm 0.032$,$-2.418 \pm 0.185$,$+0.146 \pm 0.021$,$37.162 \pm 0.184$,MCXC J0041.8-0918,0.0555,1.21,1.49,WISEA J004028.94-093729.9,0.0562,Q
2022rqc,$16.464 \pm 0.013$,$+1.065 \pm 0.051$,$+0.125 \pm 0.008$,$35.639 \pm 0.189$,MCXC J0740.9+5525,0.0340,0.76,1.95,UGC 03923,0.03,SF
2022vrn,$17.655 \pm 0.010$,$+0.174 \pm 0.096$,$-0.111 \pm 0.009$,$37.214 \pm 0.171$,MCXC J0753.4+2921,0.0621,0.78,0.97,SDSS J075249.11+292909.2,0.06,Q
