SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2021aesp,17.58397371223368,0.02312619215467705,-2.4015347900546264,0.15036504235144843,-0.0031050067606205826,0.016659534174703113,36.5475345903393,0.14003856648923024,0.21676090146327454,n,10.31,0.09999999999999964,-9.88,0.15000000000000036,0.0411829352,0.04176381083828473
2021aqq,17.872683371491053,0.013566391518139495,0.2934590170618908,0.08752069607605431,0.11957474533016166,0.008918505571245001,36.893147438259554,0.13806360167188841,0.17980137621733405,n,10.05,0.08999999999999986,-10.42,0.1999999999999993,0.0491824746,0.04953019248042567
2021aqy,19.03138888663282,0.05743548470010533,-1.024852469080767,0.31117585941172676,0.24701870420969904,0.03465976390778909,37.57974858914441,0.14947991115627499,-0.43558908057395485,y,11.05,0.08999999999999986,-10.17,0.15000000000000036,0.087639831,0.08782276708409587
2021bb,18.602939408322207,0.02915135448579264,-0.3939707540936998,0.3003708637107348,0.007534109984864493,0.024712454127700154,37.80026134037999,0.14992564116730175,-0.16735986053684115,n,9.99,0.09999999999999964,-9.57,0.14000000000000057,0.0864930451,0.08601984414697439
2021bkw,15.638437517752168,0.0030539734013680622,-1.5090809197213964,0.026936144496438594,0.09230568949465287,0.0025149327169645525,34.49100159500578,0.14951674306953974,0.09661724079629153,n,9.14,0.09999999999999964,-9.73,0.21000000000000085,0.0181851089,0.017432606639240955
2021bmb,17.4993100581752,0.007874165943065446,0.7455431678548726,0.07245404887387849,0.19670604682879583,0.006086743329570943,36.39529179584424,0.13871920799214063,0.2458138363255884,n,9.4,0.08999999999999986,-10.27,0.15000000000000036,0.0374996625,0.038509987831706116
2021bnv,18.44396139983177,0.012741857028725807,0.7212839222329951,0.12655994374042648,-0.05267500709537404,0.007425496506056581,37.92784679261587,0.13692629346551655,0.15769763600493292,n,10.13,0.10999999999999943,-9.88,0.15000000000000036,0.0787045956,0.07892632564071289
2021bsy,18.17136601275293,0.014810157760632079,1.4824124215787473,0.22964262808505245,-0.12105923987490609,0.013072209043939105,37.915507613640116,0.14124870669367567,0.18142336015349514,n,10.35,0.08000000000000007,-10.52,0.15000000000000036,0.0774192661,0.0776925572633731
2021bvf,18.873425763789328,0.011953727009767491,-0.0650450687424839,0.13386883882017137,-0.05669957076747518,0.011033223367986445,38.265412932640466,0.13836209488765747,-0.019772655897448033,n,10.66,0.08000000000000007,-10.22,0.15000000000000036,0.0978340879,0.09871316398716856
2021ccl,18.644838703905677,0.01916238540701274,0.5137641641242233,0.24913065699559575,-0.030571628970218083,0.018442798934606736,38.049569041737115,0.14399459439471138,-0.02718069697752412,n,10.29,0.10000000000000142,-10.42,0.1999999999999993,0.0902595446,0.09019606482114972
2021cgl,16.444849772787684,0.003668530390555845,1.3894638703125608,0.032006777417429286,-0.004605142308803881,0.0028221859046294023,35.90100479932987,0.13886280302443302,-0.060144446054508194,n,9.41,0.10999999999999943,-9.52,0.1399999999999988,0.035866078,0.03539171701889687
2021ckc,17.489338864245724,0.007483797300845242,1.4818202079008536,0.06375329813813067,0.08242534413118369,0.005359091260300825,36.75114560547403,0.1371359594048286,-0.18498969483641048,n,10.41,0.08999999999999986,-9.77,0.25,0.0530867577,0.054679209307433974
2021cn,18.62696664497303,0.01244926403719185,1.1184225115853963,0.15594090508414063,0.0024552499443147953,0.013955846670730576,38.031424206599524,0.14142397686146216,0.017188868814187686,n,10.42,0.08000000000000007,-10.22,0.15000000000000036,0.0878785029,0.0877807140703335
2021cs,18.272406635700154,0.010687558712277445,-0.4472566330042919,0.09468280692977218,-3.9607064260867774e-05,0.010164887604378753,37.4808043987849,0.13809308366102233,0.08732539924535843,n,10.31,0.08999999999999986,-10.02,0.1999999999999993,0.0658657253,0.06691491879511124
2021cta,18.639607924144876,0.008607003038655787,-0.4480581319815967,0.09770294097067997,-0.003651338542020821,0.008086645926371434,37.85646209746383,0.13753784497399293,-0.0035667246957302723,n,10.1,0.08000000000000007,-10.17,0.15000000000000036,0.0810838789,0.08208292553763252
